1	番禺广场	32514	0.0741	0.212155	25
2	市桥	51827	0.1453	0.387779	12
3	汉溪长隆	30726	0.2137	0.290923	21
4	大石	37914	0.2792	0.381649	13
5	厦滘	28886	0.3419	0.361935	15
6	沥滘	9983	0.4017	0.274242	23
7	大塘	18575	0.4587	0.368814	14
8	客村	832	0.5128	0.285185	22
9	广州塔	21815	0.5641	0.459029	8
10	珠江新城	45025	0.6125	0.645934	2
11	体育西路	75499	0.8433	1	1
12	石牌桥	39867	0.3419	0.435468	10
13	岗顶	59637	0.2792	0.527115	4
14	华师	33428	0.2137	0.309017	19
15	五山	28054	0.1453	0.228586	24
16	天河客运站	51830	0.0741	0.341503	17
17	机场南	25618	0.0741	0.165977	27
18	人和	47926	0.1453	0.361656	16
19	龙归	30813	0.2137	0.291505	20
20	白云大道北	11208	0.2792	0.202815	26
21	永泰	24878	0.3419	0.335096	18
22	同和	41620	0.4017	0.486096	6
23	京溪南方医院	31214	0.4587	0.45345	9
24	梅花园	19878	0.5128	0.412725	11
25	燕塘	31620	0.5641	0.524687	5
26	广州东站	20095	0.6125	0.478993	7
27	林和西	29741	0.6581	0.573216	3
